Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Data Devices,,,PB_ELV_IT_Outlet_Wall Surface,,,,,,,
Data Devices,,,TEE_Data Devices_Data Outlet,,,,,,,
Lighting Devices,,,PB14_ELV_Emergency Push Button_Wall Surface,,,,,,,
Cable Trays,,,Cable Tray with Fittings,,,,,,,
Cable Tray Fittings,,,Cable Tray Horizontal Bend,,,,,,,
Cable Tray Fittings,,,Cable Tray Horizontal Tee,,,,,,,
Cable Tray Fittings,,,Cable Tray Vertical Outside Bend,,,,,,,
Cable Tray Fittings,,,Cable Tray Vertical Inside Bend,,,,,,,
Cable Tray Fittings,,,Cable Tray Reducer,,,,,,,
Cable Tray Fittings,,,Cable Tray Union,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_AMS Rack,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_LAN Rack,,,,,,,
Lighting Fixtures,,,TEE_Lighting Devices_Strobe Light,,,,,,,
Electrical Fixtures,,,TEE_Electrical Fixture_FTP,,,,,,,
