Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Structural Framing,LCBC_Precast T-Beam,1000x1500 PT PCB01a (LOWER ROOF),LCBC_Precast T-Beam,,,,Beam Precast,1000x1500 PT PCB01a (LOWER ROOF),ST-PRECAST CONC,
Structural Framing,LCBC_Precast Edge-Beam,1000x1000,LCBC_Precast Edge-Beam,,,,,1000x1000,ST-PRECAST CONC,
Structural Framing,LCBC_Precast Edge-Beam,1000/1700x1000 Non-Typical,LCBC_Precast Edge-Beam,,,,,1000/1700x1000 Non-Typical,ST-PRECAST CONC,
Structural Framing,LCBC_Concrete-Rectangular Beam1,1000Dx1000W,LCBC_Concrete-Rectangular Beam1,,,,,1000Dx1000W,ST-CONC,
Structural Framing,LCBC_Concrete-Rectangular Beam1,1500/800Dx300W,LCBC_Concrete-Rectangular Beam1,,,,,1500/800Dx300W,ST-CONC,
Structural Framing,LCBC_Concrete-Rectangular Beam1,1190Dx300W (Coupling Beam),LCBC_Concrete-Rectangular Beam1,,,,,1190Dx300W (Coupling Beam),ST-Coupling Beam,
Structural Framing,LCBC_Concrete-Rectangular Beam1,1100Dx300W (Coupling Beam),LCBC_Concrete-Rectangular Beam1,,,,,1100Dx300W (Coupling Beam),ST-Coupling Beam,
Structural Framing,LCBC_Concrete-Rectangular Beam1,NON-TYPICAL 940/800Dx300W,LCBC_Concrete-Rectangular Beam1,,,,,NON-TYPICAL 940/800Dx300W,ST-CONC,
Structural Framing,LCBC_Concrete-Rectangular Beam1,800Dx300W,LCBC_Concrete-Rectangular Beam1,,,,,800Dx300W,ST-CONC,
Structural Framing,LCBC_Concrete-Rectangular Beam1,1000Dx400W,LCBC_Concrete-Rectangular Beam1,,,,,1000Dx400W,ST-CONC,
Structural Framing,LCBC_Concrete-Rectangular Beam1,300Dx150W,LCBC_Concrete-Rectangular Beam1,,,,,300Dx150W,ST-CONC,
Structural Framing,LCBC_Concrete-Rectangular Beam1,400Dx200W,LCBC_Concrete-Rectangular Beam1,,,,,400Dx200W,ST-CONC,
Structural Framing,LCBC_Concrete-Rectangular Beam1,600Dx400W,LCBC_Concrete-Rectangular Beam1,,,,,600Dx400W,ST-CONC,
Structural Framing,LCBC_Precast L-Beam,1000x1250 PCB03a (LOWER ROOF),LCBC_Precast L-Beam,,,,Beam Precast,1000x1250 PCB03a (LOWER ROOF),ST-PRECAST CONC,
Structural Framing,LCBC_Precast L-Beam,1000x1250 PCB04a,LCBC_Precast L-Beam,,,,Beam Precast,1000x1250 PCB04a,ST-PRECAST CONC,
Structural Framing,LCBC_Prestressed T-Beam,TB-01,LCBC_Prestressed T-Beam,,,,,TB-01,Concrete - Precast Concrete - 35 MPa,
Structural Framing,LCBC_Concrete-Rectangular Beam2,3350Dx300W (Coupling Beam),LCBC_Concrete-Rectangular Beam2,,,,,3350Dx300W (Coupling Beam),ST-Coupling Beam,
Structural Framing,LCBC_Concrete-Rectangular Beam2,3675Dx300W (Coupling Beam),LCBC_Concrete-Rectangular Beam2,,,,,3675Dx300W (Coupling Beam),ST-Coupling Beam,
Structural Framing,LCBC_Concrete-Rectangular Beam2,3700Dx300W (Coupling Beam),LCBC_Concrete-Rectangular Beam2,,,,,3700Dx300W (Coupling Beam),ST-Coupling Beam,
Structural Framing,LCBC_Concrete-Rectangular Beam2,3750Dx300W (Coupling Beam),LCBC_Concrete-Rectangular Beam2,,,,,3750Dx300W (Coupling Beam),ST-Coupling Beam,
Structural Framing,LCBC_Concrete-Rectangular Beam2,1550Dx300W (Coupling Beam),LCBC_Concrete-Rectangular Beam2,,,,,1550Dx300W (Coupling Beam),ST-CONC,
Floors,Floor,LCBC_Struct_FL_300mm,Floor,,,300mm THK RC FLOOR SLAB,,LCBC_Struct_FL_300mm,ST-CONC,
Floors,Floor,LCBC_Struct_FL_350mm,Floor,,,300mm THK RC FLOOR SLAB,,LCBC_Struct_FL_350mm,ST-CONC,
