Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material,Category
Pipes,,,Pipe Types,,,,,,,,
Ducts,,,Rectangular Duct,,,,,,,,
Ducts,,,Round Duct,,,,,,,,
Mechanical Equipment,,,ACM_MECH_Jet Fan,,,,,,,,
Mechanical Equipment,,,ACM_MECH_FCU-S-Unit_680Ls,,,,,,,,
Mechanical Equipment,,,ACM_MECH_DXFanCoilUnit,,,,,,,,
Mechanical Equipment,,,ACM_MECH_Axial FreshAir Fan,,,,,,,,
Mechanical Equipment,,,ACM_MECH_Axial Exhaust Fan -,,,,,,,,
Mechanical Equipment,,,ACM_MECH_Mech Control Panel,,,,,,,,
Mechanical Equipment,,,ACM_MECH_Four Way Ceiling Cassette,,,,,,,,
Mechanical Equipment,,,ACM_Thermostat-Generic-300,,,,,,,,
Mechanical Equipment,,,ACM_Outdoor_Condenser_Unit_Single_Fan,,,,,,,,
Pipe Fittings,,,ACM_PIPE_Cap,,,,,,,,
Pipe Fittings,,,M_Tee - Generic,,,,,,,,
Pipe Fittings,,,M_Transition - Welded - Generic,,,,,,,,
Pipe Fittings,,,M_Elbow - Welded - Generic,,,,,,,,
Pipe Fittings,,,M_Transition - Generic,,,,,,,,
Pipe Fittings,,,M_Elbow - Generic1,,,,,,,,
Pipe Fittings,,,M_Coupling - Generic1,,,,,,,,
Pipe Fittings,,,M_Cross - Welded - Generic,,,,,,,,
Pipe Accessories,ACM_PIPE_Gate Valve - 20-300 mm,65 mm,ACM_PIPE_Gate Valve - 20-300 mm,,,,,65 mm,,,
Pipe Accessories,ACM_PIPE_Gate Valve - 20-300 mm,125 mm,ACM_PIPE_Gate Valve - 20-300 mm,,,,,125 mm,,,
Pipe Accessories,ACM_PIPE_Balancing Valve - Straight - 65-300 mm - Grooved,125 mm,ACM_PIPE_Balancing Valve - Straight - 65-300 mm - Grooved,,,,,125 mm,,,
Pipe Accessories,ACM_PIPE_Balancing Valve - Straight - 65-300 mm - Grooved,200 mm,ACM_PIPE_Balancing Valve - Straight - 65-300 mm - Grooved,,,,,200 mm,,,
Pipe Accessories,ACM_PIPE_Balancing Valve - Straight - 65-300 mm - Grooved,65 mm,ACM_PIPE_Balancing Valve - Straight - 65-300 mm - Grooved,,,,,65 mm,,,
Pipe Accessories,ACM_PIPE_Balancing Valve - Straight - 65-300 mm - Grooved,150 mm,ACM_PIPE_Balancing Valve - Straight - 65-300 mm - Grooved,,,,,150 mm,,,
Pipe Accessories,ACM_PIPE_Venturi Flow Meter - 150-1200 mm,150 mm,ACM_PIPE_Venturi Flow Meter - 150-1200 mm,,,,,150 mm,,,
Pipe Accessories,ACM_PIPE_Venturi Flow Meter - 150-1200 mm,65 mm,ACM_PIPE_Venturi Flow Meter - 150-1200 mm,,,,,65 mm,,,
Duct Fittings,,,ACM_MECH_Rectangular Endcap,,,,,,,,
Duct Fittings,,,M_Rectangular Takeoff,,,,,,,,
Duct Fittings,,,M_Rectangular Elbow - Radius1,,,,,,,,
Duct Fittings,,,M_Rectangular Transition - Angle,,,,,,,,
Duct Fittings,,,M_Rectangular Union,,,,,,,,
Duct Fittings,,,ACM_M-Rectangular Elbow - Radius,,,,,,,,
Duct Fittings,,,M_Rectangular to Round Transition - Angle,,,,,,,,
Duct Fittings,,,M_Rectangular Tap - Beveled,,,,,,,,
Duct Fittings,,,M_Round Takeoff,,,,,,,,
Duct Fittings,,,ACM_MECH_RectangularTakeoff,,,,,,,,
Duct Fittings,,,Butterfly Duct,,,,,,,,
Duct Fittings,,,Butterfly Duct (400 Depth),,,,,,,,
Duct Fittings,,,M_Rectangular Tee,,,,,,,,
Duct Fittings,,,M_Round Transition - Angle,,,,,,,,
Duct Fittings,,,M_Round Elbow,,,,,,,,
