"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Generic Models","LCBC Bollard","LCBC Bollard","LCBC Bollard","[5094867]","","","","","LCBC Bollard","",""
"Generic Models","LCBC Bollard","LCBC Bollard","LCBC Bollard","[5094868]","","","","","LCBC Bollard","",""
"Generic Models","LCBC Bollard","LCBC Bollard","LCBC Bollard","[5094869]","","","","","LCBC Bollard","",""
"Generic Models","LCBC Bollard","LCBC Bollard","LCBC Bollard","[5094870]","","","","","LCBC Bollard","",""
"Floors","Floor","LCBC_AR_CARPARK_100mm Var","Floor","[4905098]","","","","","LCBC_AR_CARPARK_100mm Var","FLOOR ASPHALT",""
"Floors","Floor","LCBC_AR_CARPARK_100mm Var","Floor","[4908030]","","","","","LCBC_AR_CARPARK_100mm Var","FLOOR ASPHALT",""
"Floors","Floor","LCBC_AR_CARPARK_100mm Var","Floor","[5079877]","","","","","LCBC_AR_CARPARK_100mm Var","FLOOR ASPHALT",""
"Floors","Floor","LCBC_AR_CARPARK_100mm Var","Floor","[5091062]","","","","","LCBC_AR_CARPARK_100mm Var","FLOOR ASPHALT",""
"Floors","Floor","LCBC_AR_CARPARK_100mm Var","Floor","[5092434]","","","","","LCBC_AR_CARPARK_100mm Var","FLOOR ASPHALT",""
"Floors","Floor","LCBC_AR_CARPARK_100mm Var","Floor","[5101484]","","","","","LCBC_AR_CARPARK_100mm Var","FLOOR ASPHALT",""
"Floors","Floor","LCBC_AR_CARPARK_100mm Var","Floor","[5154957]","","","","","LCBC_AR_CARPARK_100mm Var","FLOOR ASPHALT",""
"Floors","Floor","LCBC_AR_FL_600mm(Planting Area)","Floor","[4907704]","","","","","LCBC_AR_FL_600mm(Planting Area)","L166_Plant",""
"Floors","Floor","LCBC_AR_CARPARK_100mm","Floor","[4907894]","","","","","LCBC_AR_CARPARK_100mm","FLOOR ASPHALT",""
"Floors","Floor","LCBC_AR_CARPARK_100mm","Floor","[5110806]","","","","","LCBC_AR_CARPARK_100mm","FLOOR ASPHALT",""
"Floors","Floor","LCBC_AR_ROADMARK_5mm","Floor","[5051871]","","","","","LCBC_AR_ROADMARK_5mm","PARKING-STRIP (YELLOW)",""
"Floors","Floor","LCBC_AR_ROADMARK_5mm","Floor","[5052172]","","","","","LCBC_AR_ROADMARK_5mm","PARKING-STRIP (YELLOW)",""
"Floors","Floor","LCBC_AR_ROADMARK_5mm","Floor","[5052337]","","","","","LCBC_AR_ROADMARK_5mm","PARKING-STRIP (YELLOW)",""
"Floors","Floor","LCBC_AR_ROADMARK_5mm","Floor","[5052344]","","","","","LCBC_AR_ROADMARK_5mm","PARKING-STRIP (YELLOW)",""
"Floors","Floor","LCBC_AR_ROADMARK_5mm","Floor","[5069196]","","","","","LCBC_AR_ROADMARK_5mm","PARKING-STRIP (YELLOW)",""
"Floors","Floor","LCBC_AR_ROADMARK_5mm","Floor","[5069672]","","","","","LCBC_AR_ROADMARK_5mm","PARKING-STRIP (YELLOW)",""
"Floors","Floor","LCBC_Arch_Screed_100mm","Floor","[5063454]","","","100mm THK CEMENT SCREED","","LCBC_Arch_Screed_100mm","LCBC_Concrete Screed",""
"Floors","Floor","LCBC_AR_FL_200mm(Planting Area)","Floor","[5085376]","","","","","LCBC_AR_FL_200mm(Planting Area)","L166_Plant",""
"Floors","Floor","LCBC_AR_FL_200mm(Planting Area)","Floor","[5111437]","","","","","LCBC_AR_FL_200mm(Planting Area)","L166_Plant",""
"Floors","Floor","LCBC_AR_FL_200mm(Planting Area)","Floor","[5111502]","","","","","LCBC_AR_FL_200mm(Planting Area)","L166_Plant",""
"Floors","Floor","LCBC_AR_FL_200mm(Planting Area)","Floor","[5111575]","","","","","LCBC_AR_FL_200mm(Planting Area)","L166_Plant",""
