Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Parking,SC.Car_Parking_LSide,2400X4800,SC.Car_Parking_LSide,G2020110,,,,2400X4800,,
Parking,,,Direction Arrows - Straight,,,,,,,
Parking,SC.Car_Parking_Side,2400X4800,SC.Car_Parking_Side,G2020110,,,,2400X4800,,
Parking,SC.Car_Parking_Mid,2400X4800,SC.Car_Parking_Mid,G2020110,,,,2400X4800,,
Parking,Lorry Parking Lot,3300x12000,Lorry Parking Lot,,,,,3300x12000,,
Parking,Hump,Hump 150x1200mm,Hump,,,,,Hump 150x1200mm,,
Parking,Hump,SC.14640,Hump,,,,,SC.14640,,
Parking,Hump,SC.4600,Hump,,,,,SC.4600,,
Walls,Basic Wall,SC.200mm_Hollow_LW_Internal,Basic Wall,,,,,SC.200mm_Hollow_LW_Internal,LWCP_SkimCoat_Internal,
Walls,Basic Wall,SC.100mm_Solid_LW_External,Basic Wall,,,,,SC.100mm_Solid_LW_External,LWCP_SkimCoat_External,
Walls,Basic Wall,RC_300mm_SkimCoat_Internal,Basic Wall,,,,,RC_300mm_SkimCoat_Internal,RC_SkimCoat_Internal,
Walls,Basic Wall,SC.100mm_Hollow_LW_Internal,Basic Wall,,,,,SC.100mm_Hollow_LW_Internal,LWCP_SkimCoat_Internal,
Walls,Basic Wall,SC.150mm_Solid_LW_External,Basic Wall,,,,,SC.150mm_Solid_LW_External,LWCP_SkimCoat_Internal,
Walls,Basic Wall,SC.100mm_AAC,Basic Wall,,,,,SC.100mm_AAC,LWCP_SkimCoat_External,
Walls,Basic Wall,SC.150mm_Hollow_LW_Internal,Basic Wall,,,,,SC.150mm_Hollow_LW_Internal,LWCP_SkimCoat_Internal,
Walls,Basic Wall,SC.100_kerb,Basic Wall,,,,,SC.100_kerb,Concrete - Cast In Situ,
Walls,Basic Wall,SC.200_kerb,Basic Wall,,,,,SC.200_kerb,Concrete - Cast In Situ,
Walls,Basic Wall,BSS.15mm 300x600 Wall Finishes,Basic Wall,,,,,BSS.15mm 300x600 Wall Finishes,<By Category>,
Walls,Basic Wall,BSS.2 Waterproofing 300mm,Basic Wall,,,,,BSS.2 Waterproofing 300mm,Waterproofing,
Walls,Basic Wall,BSS.50,Basic Wall,,,,,BSS.50,SC.Concrete Wall,
Walls,Basic Wall,SC.20_Veneer Fin,Basic Wall,,,,,SC.20_Veneer Fin,SC.Veneer Fin,
Walls,Basic Wall,BSS.2 Waterproofing 1800mm,Basic Wall,,,,,BSS.2 Waterproofing 1800mm,Waterproofing,
Walls,Basic Wall,SC.25_Supalux_Board,Basic Wall,,,,,SC.25_Supalux_Board,Concrete - Cast In Situ,
Walls,Basic Wall,SC.10_Aluminum_Strip Panel,Basic Wall,,,,,SC.10_Aluminum_Strip Panel,<By Category>,
Walls,Basic Wall,SC.10_SkimCoat_Paint_Int,Basic Wall,,,,,SC.10_SkimCoat_Paint_Int,SC.SkimCoat_Int,
Walls,Basic Wall,SC.10_SkimCoat_Paint_Ext,Basic Wall,,,,,SC.10_SkimCoat_Paint_Ext,SC.SkimCoat_Ext,
Walls,Basic Wall,SC.2_Heavy_Duty_Paint,Basic Wall,,,,,SC.2_Heavy_Duty_Paint,SC.Heavy Duty Paint,
Walls,Basic Wall,SC.15_Wood_Panel,Basic Wall,,,,,SC.15_Wood_Panel,<By Category>,
Walls,Basic Wall,SC.300,Basic Wall,,,,,SC.300,"SC.Concrete, Cast In Situ",
Walls,Basic Wall,SC.400,Basic Wall,,,,,SC.400,"SC.Concrete, Cast In Situ",
Walls,Basic Wall,SC.200,Basic Wall,,,,,SC.200,"SC.Concrete, Cast In Situ",
Walls,Basic Wall,SC.800,Basic Wall,,,,,SC.800,"SC.Concrete, Cast In Situ",
Walls,Basic Wall,SC.250,Basic Wall,,,,,SC.250,"SC.Concrete, Cast In Situ",
Walls,Basic Wall,SC.100,Basic Wall,,,,,SC.100,"SC.Concrete, Cast In Situ",
Walls,Basic Wall,SC.1000,Basic Wall,,,,,SC.1000,"SC.Concrete, Cast In Situ",
Walls,Basic Wall,SC.350,Basic Wall,,,,,SC.350,"SC.Concrete, Cast In Situ",
Walls,Curtain Wall,SC.Glass_Panels,CurtainPanel,,,,,Single Glazed - 6T,,
Walls,Curtain Wall,SC.Glass_Panels,CurtainPanelOpening FAP,,,,,GlazedPanel_Single_Clear,,
Walls,Curtain Wall,SC.Glass_Panels,CurtainPanelOpening,,,,,GlazedPanel_Single_Clear,,
Walls,Curtain Wall,SC.Glass_Panels,Rectangular Mullion,,,,,SC.50/165_Typical_6T_13T,,<By Category>
Walls,Curtain Wall,SC.Glass_Panels,Rectangular Mullion,,,,,SC.125/262_Left_Side_6T,,<By Category>
Walls,Curtain Wall,SC.Glass_Panels,Rectangular Mullion,,,,,SC.125/262_Right_Side_6T,,<By Category>
Walls,Curtain Wall,SC.Glass_Panels,Rectangular Mullion,,,,,SC.50/165_Typical_6T,,<By Category>
Walls,Curtain Wall,SC.Glass_Panels,Rectangular Mullion,,,,,SC.50/165_Typical_13T,,<By Category>
Walls,Curtain Wall,SC.Glass_Panels,CurtainPanel,,,,,Single Glazed - 13.52T,,
Walls,Curtain Wall,SC.Glass_Panels,Rectangular Mullion,,,,,SC.Alum_Floor_Bracket,,<By Category>
Walls,Curtain Wall,SC.Glass_Panels,Curtain Wall,,,,,SC.Glass_Panels,<By Category>,
Walls,Curtain Wall,SC.Glass_Panels,Louvre Curtain Wall System,,,,,Louvre 150 Spacing,,
Walls,Curtain Wall,SC.Glass_Panels,Rectangular Mullion,,,,,SC.75/213_Right Side_13T,,<By Category>
Walls,Curtain Wall,SC.Glass_Panels,Rectangular Mullion,,,,,SC.Top_Alum_Fin,,<By Category>
Walls,Curtain Wall,SC.Glass_Panels,Rectangular Mullion,,,,,SC.75/213_Typical_13T,,<By Category>
Walls,Curtain Wall,SC.Glass_Panels,Rectangular Mullion,,,,,SC.75/213_Left Side,,<By Category>
Walls,Curtain Wall,SC.Glass_Panels,Rectangular Mullion,,,,,SC.125/213_Typical_13T,,<By Category>
Walls,Curtain Wall,SC.Glass_Panels,Rectangular Mullion,,,,,SC.125/165_Typical_13T_6T,,<By Category>
Walls,Curtain Wall,SC.Glass_Panels,Rectangular Mullion,,,,,SC.125/213_Typical,,<By Category>
Walls,Curtain Wall,SC.Glass_Panels,Rectangular Mullion,,,,,SC.Left_Cover_Mullion,,<By Category>
Walls,Curtain Wall,SC.Glass_Panels,Rectangular Mullion,,,,,SC.Right_Cover_Mullion,,<By Category>
Walls,Curtain Wall,SC.Glass_Panels,Rectangular Mullion,,,,,SC.125/165_Typical_6T,,<By Category>
Walls,Curtain Wall,SC.Glass_Panels,Rectangular Mullion,,,,,SC.125/252_Typical_6T,,<By Category>
Walls,Curtain Wall,SC.Glass_Panels,Rectangular Mullion,,,,,SC.50/165_Typical_Window,,<By Category>
Walls,Curtain Wall,SC.Glass_Panels,Rectangular Mullion,,,,,SC.100/213_Right_GlassWall,,<By Category>
Walls,Curtain Wall,SC.Glass_Panels,Rectangular Mullion,,,,,SC.100/213_Left_GlassWall,,<By Category>
Walls,Curtain Wall,SC.Glass_Panels,Rectangular Mullion,,,,,SC.38/169_Center_GlassWall,,<By Category>
Walls,Curtain Wall,SC.Glass_Panels,SC.Alum_Perforated,,,,,Aluminum Perforated,,
Walls,Curtain Wall,SC.Glass_Panels,Rectangular Mullion,,,,,SC.125/284_Perf_Left Side,,<By Category>
Walls,Curtain Wall,SC.Glass_Panels,Rectangular Mullion,,,,,SC.125/284_Perf_Right Side,,<By Category>
Walls,Curtain Wall,SC.Glass_Panels,Rectangular Mullion,,,,,SC.50/165_Perf_Typical,,<By Category>
Walls,Curtain Wall,SC.Glass_Panels,Rectangular Mullion,,,,,SC.125/273_Perf_Typical,,<By Category>
Walls,Curtain Wall,SC.Glass_Panels,Rectangular Mullion,,,,,SC.125/165_Hor_Perf_Typical,,<By Category>
Walls,Curtain Wall,GlazedPanel,Louvre Curtain Wall System,,,,,Louvre 150 Spacing,,
Walls,Curtain Wall,GlazedPanel,Curtain Wall,,,,,GlazedPanel,<By Category>,
Walls,Curtain Wall,GlazedPanel_Single_Clear,Rectangular Mullion,,,,,Rectangular_Mullion_Bottom_Left,,<By Category>
