Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Electrical Equipment,ACM_ELEC_DB,DB-SS,ACM_ELEC_DB,,,,,DB-SS,,
Electrical Equipment,,,2000KVA TRANSFORMER,,,,,,,
Floors,SPPG,SPPG,SPPG,,,,,SPPG,<By Category>,
Lighting Fixtures,ACM_LIGT_Emergency Wall Light,Weather Proof,ACM_LIGT_Emergency Wall Light,,,,,Weather Proof,,"Metal - Paint Finish - Ivory, Glossy"
Lighting Fixtures,ACM_LIGT_LED Linear-Wall Mounted 1200,ACM_1200mm 34W_WP EB (L1),ACM_LIGT_LED Linear-Wall Mounted 1200,,,,,ACM_1200mm 34W_WP EB (L1),,
Lighting Fixtures,,,ACM_LIGT_Emergency Lighting-Surface Mounted,,,,,,,
Lighting Fixtures,,,ACM_LIGT_Recessed LED Lighting,,,,,,,
Lighting Fixtures,,,DL1,,,,,,,
Lighting Fixtures,ACM_LTG_Exterior Lighting_Wall Mounted,L5B_WP,ACM_LTG_Exterior Lighting_Wall Mounted,,,30W LED LAMP SURFACED MOUNTED WEATHERPROOF FITTING WITH HIGH LIGHT EFFICIENCY AND UNIFORMITY DIFFUSER AND ANTI AGING TRAIT HOUSING,,L5B_WP,,
Lighting Fixtures,,,ACM_LIGT_ExitSignNoArrow,,,,,,,
Lighting Fixtures,ACM_LIGT_LED Linear 1200_FOR SUBSTATION,ACM_1200mm 34W_WP (L1),ACM_LIGT_LED Linear 1200_FOR SUBSTATION,,,,,ACM_1200mm 34W_WP (L1),,
Lighting Fixtures,,,DL4,,,,,,,
Lighting Fixtures,,,ACM_LIGT_Recessed LED Lighting(600x600),,,,,,,
Lighting Fixtures,WT188C LED20 NW L1200 PSD(Wall Mount),1x16W LED Batten(W/P),WT188C LED20 NW L1200 PSD(Wall Mount),,,,,1x16W LED Batten(W/P),,
Lighting Fixtures,,,DL2 ,,,,,,,
Lighting Fixtures,,,2x14W LED (L2),,,,,,,
Lighting Fixtures,,,2x14W LED Wall Mounted(L2),,,,,,,
Lighting Devices,,,ACM_LIGT_MotionSensor_Dome,,,,,,,
Lighting Devices,,,ACM_LIGT_Metalclad Light Switch,,,,,,,
Lighting Devices,,,ACM_LIGT_Lighting Switch,,,,,,,
Lighting Devices,,,1G 1WAY,,,,,,,
Electrical Equipment,ACM_ELEC_DB,DB-1-L1,ACM_ELEC_DB,,,,,DB-1-L1,,
Electrical Equipment,ACM_ELEC_DB,Fuel Control Panel,ACM_ELEC_DB,,,,,Fuel Control Panel,,
Electrical Equipment,ACM_ELEC_DB,EDB-1-COMM,ACM_ELEC_DB,,,,,EDB-1-COMM,,
Electrical Equipment,ACM_ELEC_DB,DB-1-P1,ACM_ELEC_DB,,,,,DB-1-P1,,
Electrical Equipment,ACM_ELEC_DB,EDB-1-MMR-COMM,ACM_ELEC_DB,,,,,EDB-1-MMR-COMM,,
Electrical Equipment,ACM_ELEC_DB,EDB-1-L1,ACM_ELEC_DB,,,,,EDB-1-L1,,
Electrical Equipment,ACM_ELEC_DB,EDB-1-L2,ACM_ELEC_DB,,,,,EDB-1-L2,,
Electrical Equipment,ACM_ELEC_DB,DB-1-MV,ACM_ELEC_DB,,,,,DB-1-MV,,
Electrical Equipment,ACM_ELEC_DB,EDB-1-P2,ACM_ELEC_DB,,,,,EDB-1-P2,,
Electrical Equipment,ACM_ELEC_DB,DB-1-L2,ACM_ELEC_DB,,,,,DB-1-L2,,
Electrical Equipment,ACM_ELEC_DB,DB-1-P2,ACM_ELEC_DB,,,,,DB-1-P2,,
Electrical Equipment,ACM_ELEC_DB,EDB-FCC,ACM_ELEC_DB,,,,,EDB-FCC,,
