Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Pipes,,,Pipe Types,,,,,,,
Pipe Fittings,,,PB_Flanged_Reduce Tee,,,,,,,
Pipe Fittings,,,PB_ACMV_Flanged_End Cap,,,,,,,
Pipe Fittings,,,PB_ACMV_Generic_Elbow,,,,,,,
Pipe Fittings,,,PB_ACMV_Generic_Equal Tee,,,,,,,
Pipe Fittings,,,PB_ACMV_Flange,,,,,,,
Pipe Fittings,,,PB_ACMV_Generic_Reducer,,,,,,,
Pipe Fittings,,,PB_ACMV_Generic_End Cap,,,,,,,
Pipe Fittings,,,PB_ACMV_Flanged_Adaptor,,,,,,,
Pipe Fittings,,,PB_ACMV_Flanged_Equal Tee,,,,,,,
Pipe Fittings,,,PB_ACMV_Flanged_Elbow,,,,,,,
Pipe Fittings,,,PB_ACMV_Generic_Union,,,,,,,
Pipe Fittings,,,PB_ACMV_Flanged_Reducer,,,,,,,
Pipe Fittings,,,ACMV Pipe Ead Cap - Dia 1000,,,,,,,
Pipe Fittings,,,T_강관 ELBOW_WELD,,,,,,,
Pipe Fittings,,,ACMV Chiller Room CHWS Pipe Header-Pump In,,,,,,,
Pipe Fittings,,,ACMV Chiller Room CHWS Pipe Header-Pump Out,,,,,,,
Pipe Fittings,,,ACMV Chiller Room CWS Pipe Header-Pump Out,,,,,,,
Pipe Fittings,,,ACMV Chiller Room CWS Pipe Header-Pump In,,,,,,,
Pipe Fittings,,,ACMV Chiller Room CHWS Pipe Header-Chiller,,,,,,,
Pipe Fittings,,,ACMV Chiller Room CHWR Pipe Header-Chiller,,,,,,,
Pipe Fittings,,,ACMV Chiller Room CWR Pipe Header-Chiller,,,,,,,
Pipe Fittings,,,ACMV Chiller Room CWS Pipe Header-Chiller,,,,,,,
Pipe Fittings,,,ACMV Pipe Ead Cap - Dia 150,,,,,,,
Pipe Fittings,ACMV Coupling_Union,Standard,ACMV Coupling_Union,,,,,Standard,,Victaulic
Pipe Fittings,ACMV Coupling_Union,Standard,ACMV Coupling_Union,,,,,,,Victaulic
Pipe Fittings,,,ACMV Pipe Ead Cap - Dia 400,,,,,,,
Pipe Fittings,,,ACMV Pipe Ead Cap - Dia 300,,,,,,,
Pipe Fittings,,,PB_ACMV_Flanged_Union,,,,,,,
Pipe Fittings,,,PB_ACMV_Generic_Cross,,,,,,,
Ducts,,,Rectangular Duct,,,,,,,
Ducts,,,Round Duct,,,,,,,
Duct Accessories,PB_ACMV_Fire Damper_Vertical_Rectangular (Coefficient),Fire Damper,PB_ACMV_Fire Damper_Vertical_Rectangular (Coefficient),,,,,Fire Damper,,
Duct Accessories,PB_ACMV_Fire Damper_Horizontal_Rectangular (Specific Loss),230V Motorised Damper (N/C),PB_ACMV_Fire Damper_Horizontal_Rectangular (Specific Loss),,,,,230V Motorised Damper (N/C),,
Duct Accessories,PB_ACMV_Fire Damper_Horizontal_Rectangular (Specific Loss),230V Motorised Damper (N/O),PB_ACMV_Fire Damper_Horizontal_Rectangular (Specific Loss),,,,,230V Motorised Damper (N/O),,
Duct Accessories,PB_ACMV_Fire Damper_Horizontal_Rectangular (Specific Loss),Non Return Damper,PB_ACMV_Fire Damper_Horizontal_Rectangular (Specific Loss),,,,,Non Return Damper,,
Duct Accessories,PB_ACMV_Fire Damper_Horizontal_Rectangular (Specific Loss),230V Motorised Modulating Damper (N/O),PB_ACMV_Fire Damper_Horizontal_Rectangular (Specific Loss),,,,,230V Motorised Modulating Damper (N/O),,
Duct Accessories,PB_ACMV_Fire Damper_Horizontal_Rectangular (Specific Loss),240V Motorised Damper (N/C),PB_ACMV_Fire Damper_Horizontal_Rectangular (Specific Loss),,,,,240V Motorised Damper (N/C),,
Duct Accessories,PB_ACMV_Fire Damper_Horizontal_Rectangular (Coefficient),Fire Damper,PB_ACMV_Fire Damper_Horizontal_Rectangular (Coefficient),,,,,Fire Damper,,
Duct Accessories,PB_ACMV_Fire Damper_Horizontal_Rectangular (Coefficient),Volume Control Damper,PB_ACMV_Fire Damper_Horizontal_Rectangular (Coefficient),,,,,Volume Control Damper,,
Duct Accessories,,,PB_ACMV_Silencer Round (Specific Loss),,,,,,,
Duct Accessories,,,PB_ACMV_Rubber Expansion Joint,,,,,,,
Duct Accessories,,,PB_ACMV_Silencer Rectangular (Specific Loss),,,,,,,
Duct Accessories,PB_ACMV_Fire Damper_Vertical_Rectangular (Specific Loss),230V Motorised Damper (N/C),PB_ACMV_Fire Damper_Vertical_Rectangular (Specific Loss),,,,,230V Motorised Damper (N/C),,
Duct Accessories,PB_ACMV_Fire Damper_Vertical_Rectangular (Specific Loss),230V Motorised Damper (N/O),PB_ACMV_Fire Damper_Vertical_Rectangular (Specific Loss),,,,,230V Motorised Damper (N/O),,
Duct Accessories,PB_ACMV_Fire Damper_Vertical_Rectangular (Specific Loss),230V Motorised Modulating Damper (N/C),PB_ACMV_Fire Damper_Vertical_Rectangular (Specific Loss),,,,,230V Motorised Modulating Damper (N/C),,
Duct Accessories,PB_ACMV_Fire Damper_Vertical_Rectangular (Specific Loss),Non Return Damper,PB_ACMV_Fire Damper_Vertical_Rectangular (Specific Loss),,,,,Non Return Damper,,
Duct Accessories,,,PB_ACMV_Filter (Specific Loss),,,,,,,
Duct Accessories,PB_ACMV_Fire Damper_Horizontal_Round (Coefficient),Fire Damper,PB_ACMV_Fire Damper_Horizontal_Round (Coefficient),,,,,Fire Damper,,
Duct Accessories,PB_ACMV_Fire Damper_Horizontal_Rectangular (Specific Loss)1,230V Motorised Damper (N/C) 2,PB_ACMV_Fire Damper_Horizontal_Rectangular (Specific Loss)1,,,,,230V Motorised Damper (N/C) 2,,
Duct Accessories,PB_ACMV_Fire Damper_Horizontal_Rectangular (Specific Loss)1,230V Motorised Damper (N/C),PB_ACMV_Fire Damper_Horizontal_Rectangular (Specific Loss)1,,,,,230V Motorised Damper (N/C),,
Mechanical Equipment,,,PB_ACMV_Axial Fan with Flex Connector_Horizontal_Non-Hosted,,,,,,,
Mechanical Equipment,,,PB_ACMV_FCU_Non-Hosted,,,,,,,
Mechanical Equipment,,,PB_ACMV_Axial Fan_Horizontal_Non-Hosted,,,,,,,
Mechanical Equipment,,,PB_ACMV_Fan Enclosure_Non-Hosted,,,,,,,
Mechanical Equipment,,,PB_ACMV_Axial Fan_Horizontal_Non-Hosted (Dual Purpose),,,,,,,
Mechanical Equipment,,,PB_ACMV_Filter_Nested Family,,,,,,,
Mechanical Equipment,,,PB_ACMV_AHU_Top Moveable_Non-Hosted (Nest In),,,,,,,
Mechanical Equipment,,,PB_ACMV_Axial Fan with Flex Connector_Horizontal_Non-Hosted (Dual Purpose),,,,,,,
Mechanical Equipment,,,PB_ACMV_Ductless Fan_Work Plane (30 Degree),,,,,,,
Mechanical Equipment,,,PB_ACMV_CRAC Unit_Work Plane (WNC),,,,,,,
Mechanical Equipment,,,PB_ACMV_Desiccant Dehumidifier_Work Plane (WNC),,,,,,,
Mechanical Equipment,,,PB_ACMV_Inline Pump_Non-Hosted,,,,,,,
