Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Structural Columns,LCBC_Concrete-Rectangular-Column,1000 x 1000,LCBC_Concrete-Rectangular-Column,,,,,1000 x 1000,ST-CONC,
Structural Columns,LCBC_UC-Universal Columns-Column,UC254x254x89,LCBC_UC-Universal Columns-Column,,,,,UC254x254x89,Metal - Steel - 345 MPa,
Structural Columns,UC-Universal Columns-Column,UC305x305x97,UC-Universal Columns-Column,,,,,UC305x305x97,Metal - Steel - 345 MPa,
Structural Columns,C-Section,I250x125x8,C-Section,,,,,I250x125x8,Metal - Steel - 345 MPa,
Structural Columns,Rectangular and Square Hollow Tubes-Column,TUB400x400x16,Rectangular and Square Hollow Tubes-Column,,,,,TUB400x400x16,Metal - Steel - 345 MPa,
Structural Columns,UC-Universal Column-Column,203x203x46UC,UC-Universal Column-Column,,,,,203x203x46UC,Metal - Steel - 345 MPa,
Structural Columns,UC-Universal Column-Column,152x152x30UC,UC-Universal Column-Column,,,,,152x152x30UC,Metal - Steel - 345 MPa,
Floors,Floor,LCBC_Struct_FL_200mm,Floor,,,200mm THK RC FLOOR SLAB,,LCBC_Struct_FL_200mm,ST-CONC,
Floors,Floor,LCBC_Struct_FL_150mm,Floor,,,150mm THK RC FLOOR SLAB,,LCBC_Struct_FL_150mm,ST-CONC,
Floors,Floor,LCBC_Struct_FL_200 mm,Floor,,,800mm THK RC FLOOR SLAB,,LCBC_Struct_FL_200 mm,ST-CONC,
Walls,Basic Wall,LCBC_IN_W4_300mm,Basic Wall,B2010120,Ext. Wall - Precast,300mm THK PC WALL,W4,LCBC_IN_W4_300mm,LCBC_Concrete,
Walls,Basic Wall,LCBC_IN_W7_450mm,Basic Wall,B2010120,Ext. Wall - Precast,300mm THK PC WALL,W7,LCBC_IN_W7_450mm,LCBC_Concrete,
Walls,Basic Wall,LCBC_IN_RC KERB_130 x 300H,Basic Wall,B2010120,Ext. Wall - Precast,150mm THK RC KERB,,LCBC_IN_RC KERB_130 x 300H,LCBC_RC KERB,
Walls,Basic Wall,LCBC_IN_W4_300mm_RC WALL,Basic Wall,B2010120,Ext. Wall - Precast,300mm THK PC WALL,,LCBC_IN_W4_300mm_RC WALL,LCBC_Concrete,
Walls,Basic Wall,LCBC_IN_RC KERB_100 x 300H,Basic Wall,B2010120,Ext. Wall - Precast,100mm THK RC KERB,,LCBC_IN_RC KERB_100 x 300H,LCBC_RC KERB,
Walls,Basic Wall,LCBC_IN_RC KERB_100 x 125H,Basic Wall,B2010120,Ext. Wall - Precast,100mm THK RC KERB,,LCBC_IN_RC KERB_100 x 125H,LCBC_RC KERB,
Walls,Basic Wall,L166_Wall 100mm,Basic Wall,B2010120,Ext. Wall - Precast,400mm THK PC WALL,RC WALL 100,L166_Wall 100mm,ST-PRECAST CONC,
Walls,Basic Wall,L166_Wall 380mm,Basic Wall,B2010120,Ext. Wall - Precast,380mm THK PC WALL,RC WALL 100,L166_Wall 380mm,ST-PRECAST CONC,
Walls,Basic Wall,LCBC_IN_W2_200mm,Basic Wall,B2010120,Ext. Wall - Precast,200mm THK PC WALL,W2,LCBC_IN_W2_200mm,LCBC_Concrete,
Structural Framing,LCBC_Universal Beams,UB762x267x134,LCBC_Universal Beams,,,,,UB762x267x134,Metal - Steel - 345 MPa,
Structural Framing,LCBC_Universal Beams,UB610x178x82,LCBC_Universal Beams,,,,,UB610x178x82,Metal - Steel - 345 MPa,
Structural Framing,LCBC_Universal Beams,UB762x267x173,LCBC_Universal Beams,,,,,UB762x267x173,Metal - Steel - 345 MPa,
